[2026-02-15 16:16:20,971][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:22,112][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:22,243][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:22,397][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:22,618][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:22,936][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:23,020][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:23,326][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:23,659][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:23,693][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:23,900][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:24,039][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:24,253][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:24,281][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:24,417][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:24,554][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-15 16:16:24,687][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:24,705][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:24,893][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:25,025][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft "HTTP/1.1 200 OK"
[2026-02-15 16:16:25,189][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/commits/main "HTTP/1.1 200 OK"
[2026-02-15 16:16:25,339][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/discussions?p=0 "HTTP/1.1 200 OK"
[2026-02-15 16:16:25,504][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/commits/refs%2Fpr%2F4 "HTTP/1.1 200 OK"
[2026-02-15 16:16:25,645][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/refs%2Fpr%2F4/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:25,783][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/refs%2Fpr%2F4/model.safetensors "HTTP/1.1 302 Found"
[2026-02-15 16:16:26,052][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:26,178][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/confit/nsynth-parquet/af95599cce86feaf630f55b8d482cdcd816c9bd5/README.md "HTTP/1.1 200 OK"
[2026-02-15 16:16:26,303][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/resolve-cache/datasets/confit/nsynth-parquet/af95599cce86feaf630f55b8d482cdcd816c9bd5/README.md "HTTP/1.1 200 OK"
[2026-02-15 16:16:26,439][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/nsynth-parquet.py "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:26,863][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/confit/nsynth-parquet/confit/nsynth-parquet.py "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:27,044][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/revision/af95599cce86feaf630f55b8d482cdcd816c9bd5 "HTTP/1.1 200 OK"
[2026-02-15 16:16:27,208][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:27,399][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=confit/nsynth-parquet "HTTP/1.1 200 OK"
[2026-02-15 16:16:27,605][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/tree/af95599cce86feaf630f55b8d482cdcd816c9bd5/instrument?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-15 16:16:27,758][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/tree/af95599cce86feaf630f55b8d482cdcd816c9bd5?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-02-15 16:16:27,918][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/dataset_infos.json "HTTP/1.1 404 Not Found"
