[2026-02-18 18:39:18,874][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:23,657][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/refs%2Fpr%2F2/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:23,658][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/openslr/librispeech_asr/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/README.md "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,799][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/refs%2Fpr%2F2/model.safetensors "HTTP/1.1 302 Found"
[2026-02-18 18:39:23,800][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/librispeech_asr.py "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:23,930][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960/xet-read-token/af46f65f540dc3ca7aa59f46c6c3d5dbb4374fa8 "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,931][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/librispeech_asr.py "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:24,322][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/librispeech_asr/librispeech_asr.py "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:24,492][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:24,635][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:25,683][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=librispeech_asr "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:25,858][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/dataset_infos.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:25,989][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/dataset_infos.json "HTTP/1.1 404 Not Found"
